[2026-08-25T14:31:52.648Z] GET http://localhost:8899/ → 200 (4ms, ?B)
[2026-08-25T14:31:52.656Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 304 (3ms, ?B)
[2026-08-25T14:31:52.657Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 304 (2ms, ?B)
[2026-08-25T14:31:52.657Z] GET http://localhost:8899/styles.css → 200 (2ms, 27265B)
[2026-08-25T14:31:52.657Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:31:52.658Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:31:52.658Z] GET http://localhost:8899/script.js → 200 (?ms, -193B)
[2026-08-25T14:32:16.262Z] GET http://localhost:8899/ → 200 (2ms, -188B)
[2026-08-25T14:32:16.266Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:32:16.266Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:32:16.266Z] GET http://localhost:8899/styles.css → 304 (1ms, ?B)
[2026-08-25T14:32:16.266Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 304 (1ms, ?B)
[2026-08-25T14:32:16.266Z] GET http://localhost:8899/assets/mms_logo.svg → 304 (1ms, ?B)
[2026-08-25T14:32:16.266Z] GET http://localhost:8899/script.js → 200 (1ms, -193B)
[2026-08-25T14:32:19.194Z] GET http://localhost:8899/ → 200 (?ms, -188B)
[2026-08-25T14:32:19.197Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:32:19.198Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:32:19.198Z] GET http://localhost:8899/styles.css → 304 (1ms, ?B)
[2026-08-25T14:32:19.198Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:32:19.199Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:32:19.199Z] GET http://localhost:8899/script.js → 304 (?ms, ?B)
[2026-08-25T14:32:22.122Z] GET http://localhost:8899/ → 200 (1ms, -188B)
[2026-08-25T14:32:22.128Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:32:22.128Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:32:22.128Z] GET http://localhost:8899/styles.css → 304 (1ms, ?B)
[2026-08-25T14:32:22.128Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:32:22.128Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:32:22.128Z] GET http://localhost:8899/script.js → 200 (?ms, -193B)
[2026-08-25T14:32:25.078Z] GET http://localhost:8899/ → 200 (1ms, -188B)
[2026-08-25T14:32:25.086Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:32:25.086Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:32:25.086Z] GET http://localhost:8899/styles.css → 304 (?ms, ?B)
[2026-08-25T14:32:25.086Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:32:25.086Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:32:25.086Z] GET http://localhost:8899/script.js → 200 (?ms, -193B)
[2026-08-25T14:32:26.081Z] GET http://localhost:8899/ → 200 (?ms, -188B)
[2026-08-25T14:32:26.085Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:32:26.086Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:32:26.086Z] GET http://localhost:8899/styles.css → 200 (?ms, -187B)
[2026-08-25T14:32:26.086Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:32:26.086Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:32:26.086Z] GET http://localhost:8899/script.js → 200 (?ms, -193B)
[2026-08-25T14:32:27.076Z] GET http://localhost:8899/ → 200 (?ms, -188B)
[2026-08-25T14:32:27.080Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:32:27.080Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:32:27.080Z] GET http://localhost:8899/styles.css → 200 (?ms, -187B)
[2026-08-25T14:32:27.080Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:32:27.080Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:32:27.080Z] GET http://localhost:8899/script.js → 200 (?ms, -193B)
[2026-08-25T14:32:42.862Z] GET http://localhost:8899/ → 200 (1ms, ?B)
[2026-08-25T14:32:42.866Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (1ms, -189B)
[2026-08-25T14:32:42.867Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:32:42.867Z] GET http://localhost:8899/styles.css → 304 (?ms, ?B)
